building-tower-season,num_of_datapoints,num_of_datapoints_20%,num_of_datapoints_40%,num_of_datapoints_60%,num_of_datapoints_80%
ESB1_summer,14348.0,2869.0,5739.0,8608.0,11478.0
ESB2_summer,11260.0,2252.0,4504.0,6756.0,9008.0
Kissam1_summer,25693.0,5138.0,10277.0,15415.0,20554.0
Kissam2_summer,25706.0,5141.0,10282.0,15423.0,20564.0
MRB1_summer,16030.0,3206.0,6412.0,9618.0,12824.0
MRB2_summer,16277.0,3255.0,6510.0,9766.0,13021.0
ESB1_fall,13390.0,2678.0,5356.0,8034.0,10712.0
ESB2_fall,11230.0,2246.0,4492.0,6738.0,8984.0
Kissam1_fall,16232.0,3246.0,6492.0,9739.0,12985.0
Kissam2_fall,16184.0,3236.0,6473.0,9710.0,12947.0
MRB1_fall,8283.0,1656.0,3313.0,4969.0,6626.0
MRB2_fall,8039.0,1607.0,3215.0,4823.0,6431.0
ESB2_winter,10984.0,2196.0,4393.0,6590.0,8787.0
ESB2_spring,2783.0,556.0,1113.0,1669.0,2226.0
